id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1507374981,High St at Itin St,1st Division,,Stone,12,4,0,100,647,43,3,1,4,https://tools.wprdc.org/images/pittsburgh/steps/High_St_at_Itin_St.jpg,Spring Garden,1,24,42003241200,1,24,1,1-5,40.45966223,-79.99464902
975348020,Highnote Way from Alries St to E Meyers St,4th Division,,Concrete,225,,2,7,1184,152,8,2,8,https://tools.wprdc.org/images/pittsburgh/steps/Highnote_Way_from_Alries_St_to_E_Meyers_St.jpg,Carrick,4,29,42003290200,3,29,3,4-12,40.40002094,-79.9858224
790257961,Highnote Way from Anglo Way to Birmingham Ave,4th Division,1972-01-01,Concrete,158,,1,9,1109,68,9,6,8,https://tools.wprdc.org/images/pittsburgh/steps/Highnote_Way_from_Anglo_Way_to_Birmingham_Ave.jpg,Carrick,4,29,42003290200,3,29,3,4-12,40.40266991,-79.98640825
1698171564,Highnote Way from Birmingham Ave to The Boulevard,4th Division,1972-01-01,Concrete,354,,1,9,1252,156,10,5,9,https://tools.wprdc.org/images/pittsburgh/steps/Highnote_Way_from_Birmingham_Ave_to_The_Boulevard.jpg,Carrick,4,29,42003290200,3,29,3,4-12,40.40185698,-79.9863117
1166574378,Highnote Way from E Meyers St to Romance Way,4th Division,,Concrete,134,,1,9,1154,109,10,6,10,https://tools.wprdc.org/images/pittsburgh/steps/Highnote_Way_from_E_Meyers_St_to_Romance_Way.jpg,Carrick,4,29,42003290200,3,29,3,4-12,40.40063586,-79.98601466
794340414,Hilltop St from Gladstone St to Parnell St,3rd Division,,Asphalt/Wood,173,27,0,100,326,10,5,10,5,https://tools.wprdc.org/images/pittsburgh/steps/Hilltop_St_from_Gladstone_St_to_Parnell_St.jpg,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41559469,-79.94196233
721121348,Hilltop St from Winterburn Ave to Georgekay Rd,3rd Division,1949-01-01,Concrete,205,84,0,100,409,14,2,4,3,https://tools.wprdc.org/images/pittsburgh/steps/Hilltop_St_from_Winterburn_Ave_to_Georgekay_Rd.jpg,Hazelwood,5,15,42003562900,3,15,4,2-12,40.41595238,-79.94015605
942282232,Hillview St and E Saw Mill Run to Kingwood St,4th Division,1950-01-01,Concrete,330,95,0,100,440,93,4,3,4,https://tools.wprdc.org/images/pittsburgh/steps/Hillview_St_and_E_Saw_Mill_Run_to_Kingwood_St.jpg,Overbrook,4,32,42003320700,5,32,3,4-25,40.3814226,-79.99636005
1983104539,Hillview St from Kingwood St to Homehurst St,4th Division,1949-01-01,Concrete,344,111,0,100,221,93,4,3,2,https://tools.wprdc.org/images/pittsburgh/steps/Hillview_St_from_Kingwood_St_to_Homehurst_St.jpg,Overbrook,4,32,42003320700,5,32,3,4-25,40.38021834,-79.9978161
643040351,Hobson St from Breining St,4th Division,,Concrete,22,18,1,9,691,98,10,10,7,https://tools.wprdc.org/images/pittsburgh/steps/Hobson_St_from_Breining_St.jpg,Brookline,4,19,42003191800,5,19,6,4-26,40.39003018,-80.00856791
